"State","Year","Gender","Event","Class","Mark","Mark.Note"
"Oregon",2018,"Girls","100m","3A","12.66","1.0"
"Oregon",2018,"Girls","800m","3A","2:19.82",""
"Oregon",2018,"Girls","1500m","3A","4:33.32",""
"Oregon",2018,"Girls","High Jump","3A","5-06.00","1.6"
"Oregon",2018,"Girls","Pole Vault","3A","11-04.25","3.4"
"Oregon",2018,"Girls","100m","4A","12.22","1.2"
"Oregon",2018,"Girls","800m","4A","2:18.54",""
"Oregon",2018,"Girls","1500m","4A","4:39.83",""
"Oregon",2018,"Girls","High Jump","4A","5-06.00","1.6"
"Oregon",2018,"Girls","Pole Vault","4A","11-00.25","3.3"
"Oregon",2018,"Girls","100m","5A","12.27","1.9"
"Oregon",2018,"Girls","800m","5A","2:14.76",""
"Oregon",2018,"Girls","1500m","5A","4:39.32",""
"Oregon",2018,"Girls","High Jump","5A","5-07.00","1.7"
"Oregon",2018,"Girls","Pole Vault","5A","11-06.25","3.5"
"Oregon",2018,"Girls","100m","6A","12.00","1.2"
"Oregon",2018,"Girls","800m","6A","2:11.72",""
"Oregon",2018,"Girls","1500m","6A","4:26.47",""
"Oregon",2018,"Girls","High Jump","6A","5-05.00","1.6"
"Oregon",2018,"Girls","Pole Vault","6A","11-09.00","3.5"
"Oregon",2018,"Boys","100m","1A","11.27","2.1"
"Oregon",2018,"Boys","800m","1A","2:02.23",""
"Oregon",2018,"Boys","1500m","1A","4:00.40",""
"Oregon",2018,"Boys","High Jump","1A","6-02.00","1.8"
"Oregon",2018,"Boys","Pole Vault","1A","12-06.00","3.8"
"Oregon",2018,"Boys","100m","2A","11.41","1.8"
"Oregon",2018,"Boys","800m","2A","2:00.31",""
"Oregon",2018,"Boys","1500m","2A","4:07.73",""
"Oregon",2018,"Boys","High Jump","2A","6-02.00","1.8"
"Oregon",2018,"Boys","Pole Vault","2A","14-00.00","4.2"
"Oregon",2018,"Boys","100m","3A","10.70","2.1"
"Oregon",2018,"Boys","800m","3A","1:58.87",""
"Oregon",2018,"Boys","1500m","3A","4:08.58",""
"Oregon",2018,"Boys","High Jump","3A","6-05.00","1.9"
"Oregon",2018,"Boys","Pole Vault","3A","13-00.00","3.9"
"Oregon",2018,"Boys","100m","4A","10.84","1.7"
"Oregon",2018,"Boys","800m","4A","1:57.81",""
"Oregon",2018,"Boys","1500m","4A","4:03.68",""
"Oregon",2018,"Boys","High Jump","4A","6-03.00","1.9"
"Oregon",2018,"Boys","Pole Vault","4A","14-06.00","4.4"
"Oregon",2018,"Boys","100m","5A","10.96","0.2"
"Oregon",2018,"Boys","800m","5A","1:54.45",""
"Oregon",2018,"Boys","1500m","5A","3:55.61",""
"Oregon",2018,"Boys","High Jump","5A","6-05.00","1.9"
"Oregon",2018,"Boys","Pole Vault","5A","14-09.00","4.4"
"Oregon",2018,"Boys","100m","6A","10.42","1.2"
"Oregon",2018,"Boys","800m","6A","1:53.45",""
"Oregon",2018,"Boys","1500m","6A","3:55.96",""
"Oregon",2018,"Boys","High Jump","6A","6-05.00","1.9"
"Oregon",2018,"Boys","Pole Vault","6A","14-06.00","4.4"
"Oregon",2017,"Girls","100m","1A","12.70","1.7"
"Oregon",2017,"Girls","800m","1A","2:26.32",""
"Oregon",2017,"Girls","1500m","1A","4:59.23",""
"Oregon",2017,"Girls","High Jump","1A","5-05.00","1.6"
"Oregon",2017,"Girls","Pole Vault","1A","8-09.00","2.6"
"Oregon",2017,"Girls","100m","2A","12.42","1.1"
"Oregon",2017,"Girls","800m","2A","2:19.17",""
"Oregon",2017,"Girls","1500m","2A","4:47.59",""
"Oregon",2017,"Girls","High Jump","2A","5-02.00","1.5"
"Oregon",2017,"Girls","Pole Vault","2A","9-06.00","2.8"
"Oregon",2017,"Girls","100m","3A","12.25","1.4"
"Oregon",2017,"Girls","800m","3A","2:19.20",""
"Oregon",2017,"Girls","1500m","3A","4:47.32",""
"Oregon",2017,"Girls","High Jump","3A","5-04.00","1.6"
"Oregon",2017,"Girls","Pole Vault","3A","10-06.00","3.2"
"Oregon",2017,"Girls","100m","4A","12.14","1.7"
"Oregon",2017,"Girls","800m","4A","2:20.96",""
"Oregon",2017,"Girls","1500m","4A","4:48.57",""
"Oregon",2017,"Girls","High Jump","4A","5-04.00","1.6"
"Oregon",2017,"Girls","Pole Vault","4A","11-09.00","3.5"
"Oregon",2017,"Girls","100m","5A","12.06","1.4"
"Oregon",2017,"Girls","800m","5A","2:17.75",""
"Oregon",2017,"Girls","1500m","5A","4:30.71",""
"Oregon",2017,"Girls","High Jump","5A","5-05.00","1.6"
"Oregon",2017,"Girls","Pole Vault","5A","12-06.00","3.8"
"Oregon",2017,"Girls","100m","6A","11.97","1.5"
"Oregon",2017,"Girls","800m","6A","2:10.99",""
"Oregon",2017,"Girls","1500m","6A","4:33.47",""
"Oregon",2017,"Girls","High Jump","6A","5-06.00","1.6"
"Oregon",2017,"Girls","Pole Vault","6A","11-09.00","3.5"
"Oregon",2017,"Boys","100m","1A","11.36","1.2"
"Oregon",2017,"Boys","800m","1A","2:01.22",""
"Oregon",2017,"Boys","1500m","1A","4:09.76",""
"Oregon",2017,"Boys","High Jump","1A","6-04.00","1.9"
"Oregon",2017,"Boys","Pole Vault","1A","12-09.00","3.8"
"Oregon",2017,"Boys","100m","2A","10.98","2.2"
"Oregon",2017,"Boys","800m","2A","2:00.63",""
"Oregon",2017,"Boys","1500m","2A","4:03.85",""
"Oregon",2017,"Boys","High Jump","2A","6-03.00","1.9"
"Oregon",2017,"Boys","Pole Vault","2A","14-06.00","4.4"
"Oregon",2017,"Boys","100m","3A","11.20","1.6"
"Oregon",2017,"Boys","800m","3A","2:01.04",""
"Oregon",2017,"Boys","1500m","3A","4:12.18",""
"Oregon",2017,"Boys","High Jump","3A","6-02.00","1.8"
"Oregon",2017,"Boys","Pole Vault","3A","14-03.25","4.3"
"Oregon",2017,"Boys","100m","4A","10.75","1.7"
"Oregon",2017,"Boys","800m","4A","1:55.86",""
"Oregon",2017,"Boys","1500m","4A","4:06.87",""
"Oregon",2017,"Boys","High Jump","4A","6-05.00","1.9"
"Oregon",2017,"Boys","Pole Vault","4A","14-06.00","4.4"
"Oregon",2017,"Boys","100m","5A","10.79","0.7"
"Oregon",2017,"Boys","800m","5A","1:57.00",""
"Oregon",2017,"Boys","1500m","5A","4:04.07",""
"Oregon",2017,"Boys","High Jump","5A","6-06.00","1.9"
"Oregon",2017,"Boys","Pole Vault","5A","14-06.00","4.4"
"Oregon",2017,"Boys","100m","6A","10.54","1.8"
"Oregon",2017,"Boys","800m","6A","1:52.78",""
"Oregon",2017,"Boys","1500m","6A","3:50.52",""
"Oregon",2017,"Boys","High Jump","6A","6-07.00","2.0"
"Oregon",2017,"Boys","Pole Vault","6A","16-02.00","4.9"
"Oregon",2016,"Girls","100m","1A","12.75","-0.4"
"Oregon",2016,"Girls","800m","1A","2:27.55",""
"Oregon",2016,"Girls","1500m","1A","4:58.11",""
"Oregon",2016,"Girls","High Jump","1A","5-02.00",""
"Oregon",2016,"Girls","Pole Vault","1A","8-09.00",""
"Oregon",2016,"Girls","100m","2A","12.78","0.8"
"Oregon",2016,"Girls","800m","2A","2:19.72",""
"Oregon",2016,"Girls","1500m","2A","4:47.93",""
"Oregon",2016,"Girls","High Jump","2A","5-02.00",""
"Oregon",2016,"Girls","Pole Vault","2A","9-06.25",""
"Oregon",2016,"Girls","100m","3A","12.38","0.8"
"Oregon",2016,"Girls","800m","3A","2:21.71",""
"Oregon",2016,"Girls","1500m","3A","4:35.86",""
"Oregon",2016,"Girls","High Jump","3A","5-01.00",""
"Oregon",2016,"Girls","Pole Vault","3A","10-06.00",""
"Oregon",2016,"Girls","100m","4A","12.33","1.4"
"Oregon",2016,"Girls","800m","4A","2:17.62",""
"Oregon",2016,"Girls","1500m","4A","4:43.01",""
"Oregon",2016,"Girls","High Jump","4A","5-08.00",""
"Oregon",2016,"Girls","Pole Vault","4A","10-06.00",""
"Oregon",2016,"Girls","100m","5A","12.34","0.9"
"Oregon",2016,"Girls","800m","5A","2:14.90",""
"Oregon",2016,"Girls","1500m","5A","4:38.23",""
"Oregon",2016,"Girls","High Jump","5A","5-04.00",""
"Oregon",2016,"Girls","Pole Vault","5A","11-06.25",""
"Oregon",2016,"Girls","100m","6A","12.13","1.8"
"Oregon",2016,"Girls","800m","6A","2:11.51",""
"Oregon",2016,"Girls","1500m","6A","4:26.16",""
"Oregon",2016,"Girls","High Jump","6A","5-05.00",""
"Oregon",2016,"Girls","Pole Vault","6A","12-00.00",""
"Oregon",2016,"Boys","100m","1A","11.47","2.1"
"Oregon",2016,"Boys","800m","1A","1:59.51",""
"Oregon",2016,"Boys","1500m","1A","4:15.85",""
"Oregon",2016,"Boys","High Jump","1A","6-01.00",""
"Oregon",2016,"Boys","Pole Vault","1A","14-06.00",""
"Oregon",2016,"Boys","100m","2A","11.35","0.5"
"Oregon",2016,"Boys","800m","2A","2:00.14",""
"Oregon",2016,"Boys","1500m","2A","4:09.32",""
"Oregon",2016,"Boys","High Jump","2A","6-04.00",""
"Oregon",2016,"Boys","Pole Vault","2A","16-02.00",""
"Oregon",2016,"Boys","100m","3A","11.10","0.9"
"Oregon",2016,"Boys","800m","3A","2:00.68",""
"Oregon",2016,"Boys","1500m","3A","3:58.64",""
"Oregon",2016,"Boys","High Jump","3A","6-04.00",""
"Oregon",2016,"Boys","Pole Vault","3A","16-00.00",""
"Oregon",2016,"Boys","100m","4A","11.02","0.7"
"Oregon",2016,"Boys","800m","4A","1:58.42",""
"Oregon",2016,"Boys","1500m","4A","4:10.10",""
"Oregon",2016,"Boys","High Jump","4A","6-06.00",""
"Oregon",2016,"Boys","Pole Vault","4A","15-06.25",""
"Oregon",2016,"Boys","100m","5A","10.86","1.6"
"Oregon",2016,"Boys","800m","5A","1:53.64",""
"Oregon",2016,"Boys","1500m","5A","3:57.86",""
"Oregon",2016,"Boys","High Jump","5A","6-02.00",""
"Oregon",2016,"Boys","Pole Vault","5A","15-00.00",""
"Oregon",2016,"Boys","100m","6A","10.55","1.6"
"Oregon",2016,"Boys","800m","6A","1:54.48",""
"Oregon",2016,"Boys","1500m","6A","3:51.30",""
"Oregon",2016,"Boys","High Jump","6A","6-07.00",""
"Oregon",2016,"Boys","Pole Vault","6A","14-00.00",""
"Oregon",2015,"Girls","100m","1A","13.40","+0.0"
"Oregon",2015,"Girls","800m","1A","2:25.45",""
"Oregon",2015,"Girls","1500m","1A","5:03.61",""
"Oregon",2015,"Girls","High Jump","1A","5-01.00",""
"Oregon",2015,"Girls","Pole Vault","1A","10-00.00",""
"Oregon",2015,"Girls","100m","2A","13.10","-1.9"
"Oregon",2015,"Girls","800m","2A","2:20.04",""
"Oregon",2015,"Girls","1500m","2A","4:50.01",""
"Oregon",2015,"Girls","High Jump","2A","5-03.00",""
"Oregon",2015,"Girls","Pole Vault","2A","9-07.00",""
"Oregon",2015,"Girls","100m","3A","12.67","-1.0"
"Oregon",2015,"Girls","800m","3A","2:23.14",""
"Oregon",2015,"Girls","1500m","3A","4:42.99",""
"Oregon",2015,"Girls","High Jump","3A","5-02.00",""
"Oregon",2015,"Girls","Pole Vault","3A","11-00.00",""
"Oregon",2015,"Girls","100m","4A","12.02","1.0"
"Oregon",2015,"Girls","800m","4A","2:18.53",""
"Oregon",2015,"Girls","1500m","4A","4:38.85",""
"Oregon",2015,"Girls","High Jump","4A","5-05.00",""
"Oregon",2015,"Girls","Pole Vault","4A","11-06.00",""
"Oregon",2015,"Girls","100m","5A","11.86","1.2"
"Oregon",2015,"Girls","800m","5A","2:18.35",""
"Oregon",2015,"Girls","1500m","5A","4:37.90",""
"Oregon",2015,"Girls","High Jump","5A","5-04.00",""
"Oregon",2015,"Girls","Pole Vault","5A","11-06.00",""
"Oregon",2015,"Girls","100m","6A","12.01","1.3"
"Oregon",2015,"Girls","800m","6A","2:13.69",""
"Oregon",2015,"Girls","1500m","6A","4:28.72",""
"Oregon",2015,"Girls","High Jump","6A","5-05.00",""
"Oregon",2015,"Girls","Pole Vault","6A","11-09.00",""
"Oregon",2015,"Boys","100m","1A","11.44","0.4"
"Oregon",2015,"Boys","800m","1A","2:00.06",""
"Oregon",2015,"Boys","1500m","1A","4:16.10",""
"Oregon",2015,"Boys","High Jump","1A","6-03.00",""
"Oregon",2015,"Boys","Pole Vault","1A","13-03.00",""
"Oregon",2015,"Boys","100m","2A","11.26","-0.2"
"Oregon",2015,"Boys","800m","2A","1:59.89",""
"Oregon",2015,"Boys","1500m","2A","4:17.54",""
"Oregon",2015,"Boys","High Jump","2A","6-02.00",""
"Oregon",2015,"Boys","Pole Vault","2A","16-01.00",""
"Oregon",2015,"Boys","100m","3A","11.20","-0.5"
"Oregon",2015,"Boys","800m","3A","1:59.62",""
"Oregon",2015,"Boys","1500m","3A","4:07.85",""
"Oregon",2015,"Boys","High Jump","3A","6-03.00",""
"Oregon",2015,"Boys","Pole Vault","3A","16-06.00",""
"Oregon",2015,"Boys","100m","4A","11.12","1.8"
"Oregon",2015,"Boys","800m","4A","1:58.06",""
"Oregon",2015,"Boys","1500m","4A","4:06.14",""
"Oregon",2015,"Boys","High Jump","4A","6-04.00",""
"Oregon",2015,"Boys","Pole Vault","4A","15-06.00",""
"Oregon",2015,"Boys","100m","5A","11.04","1.0"
"Oregon",2015,"Boys","800m","5A","1:52.68",""
"Oregon",2015,"Boys","1500m","5A","3:59.51",""
"Oregon",2015,"Boys","High Jump","5A","6-04.00",""
"Oregon",2015,"Boys","Pole Vault","5A","14-06.00",""
"Oregon",2015,"Boys","100m","6A","10.69","1.7"
"Oregon",2015,"Boys","800m","6A","1:54.63",""
"Oregon",2015,"Boys","1500m","6A","3:55.67",""
"Oregon",2015,"Boys","High Jump","6A","6-11.00",""
"Oregon",2015,"Boys","Pole Vault","6A","15-07.00",""
"Oregon",2014,"Girls","100m","1A","2.0",""
"Oregon",2014,"Girls","800m","1A","1",""
"Oregon",2014,"Girls","1500m","1A","4",""
"Oregon",2014,"Girls","High Jump","1A","0",""
"Oregon",2014,"Girls","Pole Vault","1A","0",""
"Oregon",2014,"Girls","100m","2A","1.0",""
"Oregon",2014,"Girls","800m","2A","7",""
"Oregon",2014,"Girls","1500m","2A","9",""
"Oregon",2014,"Girls","High Jump","2A","0",""
"Oregon",2014,"Girls","Pole Vault","2A","0",""
"Oregon",2014,"Girls","100m","3A","0.6",""
"Oregon",2014,"Girls","800m","3A","5",""
"Oregon",2014,"Girls","1500m","3A","6",""
"Oregon",2014,"Girls","High Jump","3A","0",""
"Oregon",2014,"Girls","Pole Vault","3A","0",""
"Oregon",2014,"Girls","100m","4A","2.0",""
"Oregon",2014,"Girls","800m","4A","7",""
"Oregon",2014,"Girls","1500m","4A","8",""
"Oregon",2014,"Girls","High Jump","4A","0",""
"Oregon",2014,"Girls","Pole Vault","4A","0",""
"Oregon",2014,"Girls","100m","5A","2.5",""
"Oregon",2014,"Girls","800m","5A","0",""
"Oregon",2014,"Girls","1500m","5A","1",""
"Oregon",2014,"Girls","High Jump","5A","0",""
"Oregon",2014,"Girls","Pole Vault","5A","0",""
"Oregon",2014,"Girls","100m","6A","1.1",""
"Oregon",2014,"Girls","800m","6A","0",""
"Oregon",2014,"Girls","1500m","6A","1",""
"Oregon",2014,"Girls","High Jump","6A","0",""
"Oregon",2014,"Girls","Pole Vault","6A","0",""
"Oregon",2014,"Boys","100m","1A","1.5",""
"Oregon",2014,"Boys","800m","1A","2",""
"Oregon",2014,"Boys","1500m","1A","6",""
"Oregon",2014,"Boys","High Jump","1A","0",""
"Oregon",2014,"Boys","Pole Vault","1A","0",""
"Oregon",2014,"Boys","100m","2A","1.6",""
"Oregon",2014,"Boys","800m","2A","5",""
"Oregon",2014,"Boys","1500m","2A","7",""
"Oregon",2014,"Boys","High Jump","2A","0",""
"Oregon",2014,"Boys","Pole Vault","2A","0",""
"Oregon",2014,"Boys","100m","3A","1.3",""
"Oregon",2014,"Boys","800m","3A","7",""
"Oregon",2014,"Boys","1500m","3A","6",""
"Oregon",2014,"Boys","High Jump","3A","0",""
"Oregon",2014,"Boys","Pole Vault","3A","0",""
"Oregon",2014,"Boys","100m","4A","3.1",""
"Oregon",2014,"Boys","800m","4A","9",""
"Oregon",2014,"Boys","1500m","4A","7",""
"Oregon",2014,"Boys","High Jump","4A","0",""
"Oregon",2014,"Boys","Pole Vault","4A","0",""
"Oregon",2014,"Boys","100m","5A","1.9",""
"Oregon",2014,"Boys","800m","5A","0",""
"Oregon",2014,"Boys","1500m","5A","8",""
"Oregon",2014,"Boys","High Jump","5A","0",""
"Oregon",2014,"Boys","Pole Vault","5A","0",""
"Oregon",2014,"Boys","100m","6A","1.1",""
"Oregon",2014,"Boys","800m","6A","4",""
"Oregon",2014,"Boys","1500m","6A","2",""
"Oregon",2014,"Boys","High Jump","6A","0",""
"Oregon",2014,"Boys","Pole Vault","6A","0",""
"Oregon",2013,"Girls","100m","4A","4","+0.0"
"Oregon",2013,"Girls","800m","4A","3",""
"Oregon",2013,"Girls","1500m","4A","5",""
"Oregon",2013,"Girls","High Jump","4A","0",""
"Oregon",2013,"Girls","Pole Vault","4A","0",""
"Oregon",2013,"Girls","100m","5A","-1.0",""
"Oregon",2013,"Girls","800m","5A","4",""
"Oregon",2013,"Girls","1500m","5A","7",""
"Oregon",2013,"Girls","High Jump","5A","0",""
"Oregon",2013,"Girls","Pole Vault","5A","0",""
"Oregon",2013,"Girls","100m","6A","0.4",""
"Oregon",2013,"Girls","800m","6A","6",""
"Oregon",2013,"Girls","1500m","6A","0",""
"Oregon",2013,"Girls","High Jump","6A","0",""
"Oregon",2013,"Girls","Pole Vault","6A","0",""
"Oregon",2013,"Boys","100m","4A","-1.3",""
"Oregon",2013,"Boys","800m","4A","1",""
"Oregon",2013,"Boys","1500m","4A","4",""
"Oregon",2013,"Boys","High Jump","4A","0",""
"Oregon",2013,"Boys","Pole Vault","4A","0",""
"Oregon",2013,"Boys","100m","5A","0.7",""
"Oregon",2013,"Boys","800m","5A","2",""
"Oregon",2013,"Boys","1500m","5A","2",""
"Oregon",2013,"Boys","High Jump","5A","0",""
"Oregon",2013,"Boys","Pole Vault","5A","0",""
"Oregon",2013,"Boys","100m","6A","1.5",""
"Oregon",2013,"Boys","800m","6A","0",""
"Oregon",2013,"Boys","1500m","6A","7",""
"Oregon",2013,"Boys","High Jump","6A","0",""
"Oregon",2013,"Boys","Pole Vault","6A","0",""
"Oregon",2013,"Girls","100m","1A","-0.6",""
"Oregon",2013,"Girls","800m","1A","0",""
"Oregon",2013,"Girls","1500m","1A","4",""
"Oregon",2013,"Girls","High Jump","1A","0",""
"Oregon",2013,"Girls","Pole Vault","1A","0",""
"Oregon",2013,"Girls","100m","2A","-0.9",""
"Oregon",2013,"Girls","800m","2A","2",""
"Oregon",2013,"Girls","1500m","2A","6",""
"Oregon",2013,"Girls","High Jump","2A","0",""
"Oregon",2013,"Girls","Pole Vault","2A","0",""
"Oregon",2013,"Girls","100m","3A","-0.8",""
"Oregon",2013,"Girls","800m","3A","5",""
"Oregon",2013,"Girls","1500m","3A","7",""
"Oregon",2013,"Girls","High Jump","3A","0",""
"Oregon",2013,"Girls","Pole Vault","3A","0",""
"Oregon",2013,"Boys","100m","1A","0.9",""
"Oregon",2013,"Boys","800m","1A","4",""
"Oregon",2013,"Boys","1500m","1A","6",""
"Oregon",2013,"Boys","High Jump","1A","0",""
"Oregon",2013,"Boys","Pole Vault","1A","0",""
"Oregon",2013,"Boys","100m","2A","0.8",""
"Oregon",2013,"Boys","800m","2A","7",""
"Oregon",2013,"Boys","1500m","2A","6",""
"Oregon",2013,"Boys","High Jump","2A","0",""
"Oregon",2013,"Boys","Pole Vault","2A","0",""
"Oregon",2013,"Boys","100m","3A","0.4",""
"Oregon",2013,"Boys","800m","3A","7",""
"Oregon",2013,"Boys","1500m","3A","1",""
"Oregon",2013,"Boys","High Jump","3A","0",""
"Oregon",2013,"Boys","Pole Vault","3A","0",""
"Oregon",2012,"Girls","100m","6A","-0.6",""
"Oregon",2012,"Girls","800m","6A","9",""
"Oregon",2012,"Girls","1500m","6A","9",""
"Oregon",2012,"Girls","High Jump","6A","0",""
"Oregon",2012,"Girls","Pole Vault","6A","0",""
"Oregon",2012,"Girls","100m","5A","-0.9",""
"Oregon",2012,"Girls","800m","5A","5",""
"Oregon",2012,"Girls","1500m","5A","7",""
"Oregon",2012,"Girls","High Jump","5A","0",""
"Oregon",2012,"Girls","Pole Vault","5A","0",""
"Oregon",2012,"Girls","100m","4A","-1.3",""
"Oregon",2012,"Girls","800m","4A","0",""
"Oregon",2012,"Girls","1500m","4A","9",""
"Oregon",2012,"Girls","High Jump","4A","0",""
"Oregon",2012,"Girls","Pole Vault","4A","0",""
"Oregon",2012,"Boys","100m","6A","-1.5",""
"Oregon",2012,"Boys","800m","6A","9",""
"Oregon",2012,"Boys","1500m","6A","5",""
"Oregon",2012,"Boys","High Jump","6A","0",""
"Oregon",2012,"Boys","Pole Vault","6A","0",""
"Oregon",2012,"Boys","100m","5A","0.2",""
"Oregon",2012,"Boys","800m","5A","7",""
"Oregon",2012,"Boys","1500m","5A","0",""
"Oregon",2012,"Boys","High Jump","5A","0",""
"Oregon",2012,"Boys","Pole Vault","5A","0",""
"Oregon",2012,"Boys","100m","4A","5","+0.0"
"Oregon",2012,"Boys","800m","4A","9",""
"Oregon",2012,"Boys","1500m","4A","0",""
"Oregon",2012,"Boys","High Jump","4A","0",""
"Oregon",2012,"Boys","Pole Vault","4A","0",""
"Oregon",2012,"Girls","100m","3A","1.8",""
"Oregon",2012,"Girls","800m","3A","3",""
"Oregon",2012,"Girls","1500m","3A","5",""
"Oregon",2012,"Girls","High Jump","3A","0",""
"Oregon",2012,"Girls","Pole Vault","3A","0",""
"Oregon",2012,"Girls","100m","2A","0.3",""
"Oregon",2012,"Girls","800m","2A","9",""
"Oregon",2012,"Girls","1500m","2A","7",""
"Oregon",2012,"Girls","High Jump","2A","0",""
"Oregon",2012,"Girls","Pole Vault","2A","0",""
"Oregon",2012,"Girls","100m","1A","0.4",""
"Oregon",2012,"Girls","800m","1A","9",""
"Oregon",2012,"Girls","1500m","1A","4",""
"Oregon",2012,"Girls","High Jump","1A","0",""
"Oregon",2012,"Girls","Pole Vault","1A","0",""
"Oregon",2012,"Boys","100m","3A","0.3",""
"Oregon",2012,"Boys","800m","3A","1",""
"Oregon",2012,"Boys","1500m","3A","0",""
"Oregon",2012,"Boys","High Jump","3A","0",""
"Oregon",2012,"Boys","Pole Vault","3A","0",""
"Oregon",2012,"Boys","100m","2A","1.6",""
"Oregon",2012,"Boys","800m","2A","1",""
"Oregon",2012,"Boys","1500m","2A","4",""
"Oregon",2012,"Boys","High Jump","2A","0",""
"Oregon",2012,"Boys","Pole Vault","2A","0",""
"Oregon",2012,"Boys","100m","1A","1.4",""
"Oregon",2012,"Boys","800m","1A","3",""
"Oregon",2012,"Boys","1500m","1A","9",""
"Oregon",2012,"Boys","High Jump","1A","0",""
"Oregon",2012,"Boys","Pole Vault","1A","0",""
